STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,ALARM_SOURCE_DESCRIPTION_TX,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY
1.50E+15,1/1/2015 0:02,QUEENS,4019,WYCKOFF AVE & DECATUR ST,QUEENS,11385,104,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,71
1.50E+15,1/1/2015 0:03,MANHATTAN,1318,1 AVE & 108 ST,MANHATTAN,10029,23,UCT/911,Multiple Dwelling 'A' - Other fire,Structural Fires,8
1.50E+15,1/1/2015 0:03,BROOKLYN,3655,BOARDWALK 800' E OF CONEY ISLAND AVE,BROOKLYN,11235,60,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,10
1.50E+15,1/1/2015 0:03,BROOKLYN,1136,RIDGE BLVD & 77 ST,BROOKLYN,11209,68,Phone,Demolition Debris or Rubbish Fire,NonStructural Fires,34
1.50E+15,1/1/2015 0:04,BRONX,3637,EASTCHESTER RD & BOSTON RD,BRONX,10469,47,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,9
1.50E+15,1/1/2015 0:04,QUEENS,5846,138 AVE & 226 ST,QUEENS,11413,105,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,36
1.50E+15,1/1/2015 0:05,BROOKLYN,3762,MONTGOMERY ST & BEDFORD AVE,BROOKLYN,11225,71,UCT/911,Multiple Dwelling 'A' - Other fire,Structural Fires,22
1.50E+15,1/1/2015 0:05,QUEENS,7607,38 ST & 20 RD,QUEENS,11105,114,Phone,Non-Medical MFA - Phone,NonMedical MFAs,63
1.50E+15,1/1/2015 0:08,BRONX,2895,WESTCHESTER AVE & MORRISON AVE,BRONX,10472,43,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,23
1.50E+15,1/1/2015 0:08,MANHATTAN,784,11 AVE & W 42 ST,MANHATTAN,10036,10,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,12
1.50E+15,1/1/2015 0:09,MANHATTAN,1725,AMSTERDAM AVE & W 176 ST,MANHATTAN,10033,33,Private Fire Alarm,Alarm System - Unnecessary,NonMedical Emergencies,40
1.50E+15,1/1/2015 0:09,BROOKLYN,3744,FOSTER AVE 250 E OF NOSTRAND AVE,BROOKLYN,11210,67,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 0:10,MANHATTAN,1802,SHERMAN AVE AND 204TH ST,MANHATTAN,10034,34,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,48
1.50E+15,1/1/2015 0:10,BRONX,2775,NELSON AVE & 172 ST,BRONX,10452,44,Private Fire Alarm,Alarm System - Unnecessary,NonMedical Emergencies,55
1.50E+15,1/1/2015 0:11,BROOKLYN,1345,SMITH ST & 4 ST,BROOKLYN,11231,76,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,14
1.50E+15,1/1/2015 0:13,BROOKLYN,582,NEVINS ST & WYCKOFF ST,BROOKLYN,11217,78,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,8
1.50E+15,1/1/2015 0:14,BRONX,2650,RANDALL AVE & SOUND VIEW AVE,BRONX,10473,43,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,6
1.50E+15,1/1/2015 0:14,MANHATTAN,718,1 AVE & E 34 ST,MANHATTAN,10016,17,Private Fire Alarm,Odor - Other Than Smoke,NonMedical Emergencies,48
1.50E+15,1/1/2015 0:15,BRONX,2206,WILLIS AVE & 146 ST,BRONX,10455,40,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,5
1.50E+15,1/1/2015 0:16,QUEENS,6271,14 AVE & 166 ST,QUEENS,11357,109,UCT/911,Brush Fire,NonStructural Fires,24
1.50E+15,1/1/2015 0:17,BRONX,2927,POPHAM AVE & W 174 ST,BRONX,10453,46,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,35
1.50E+15,1/1/2015 0:17,BRONX,2362,SOUTHERN BLVD & BARRETTO ST,BRONX,10459,41,Private Fire Alarm,Alarm System - Unnecessary,NonMedical Emergencies,52
1.50E+15,1/1/2015 0:17,MANHATTAN,927,7 AVE & 58 ST,MANHATTAN,10019,18,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,11
1.50E+15,1/1/2015 0:17,MANHATTAN,1181,COLUMBUS AVE & 88 ST,MANHATTAN,10024,24,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,12
1.50E+15,1/1/2015 0:18,MANHATTAN,1620,AMSTERDAM AVE & 144 ST,MANHATTAN,10031,30,UCT/911,Odor - Other Than Smoke,NonMedical Emergencies,12
1.50E+15,1/1/2015 0:18,QUEENS,9652,91 AVE & 121 ST,QUEENS,11418,102,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,64
1.50E+15,1/1/2015 0:18,MANHATTAN,1131,1 AVE & 82 ST,MANHATTAN,10028,19,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,7
1.50E+15,1/1/2015 0:18,BRONX,2417,WESTCHESTER AVE & SIMPSON ST,BRONX,10459,41,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,76
1.50E+15,1/1/2015 0:18,BRONX,2380,CAULDWELL AVE & 163 ST,BRONX,10456,42,UCT/911,Alarm System - Testing,NonMedical Emergencies,7
1.50E+15,1/1/2015 0:18,QUEENS,6377,42 AVE & 240 ST,QUEENS,11363,111,UCT/911,Brush Fire,NonStructural Fires,8
1.50E+15,1/1/2015 0:19,BRONX,4653,PLYMOUTH AND ZULETTE AVES,BRONX,10461,45,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,14
1.50E+15,1/1/2015 0:19,BROOKLYN,1479,7 AVE & 49 ST,BROOKLYN,11220,72,UCT/911,Utility Emergency - Gas,NonMedical Emergencies,9
1.50E+15,1/1/2015 0:19,QUEENS,4478,PARSONS BLVD & ROOSEVELT AVE,QUEENS,11354,109,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,26
1.50E+15,1/1/2015 0:20,BRONX,3532,HULL AVE & 204 ST,BRONX,10467,52,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,4
1.50E+15,1/1/2015 0:20,MANHATTAN,1546,POWELL BLVD & W 133 ST,MANHATTAN,10030,32,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,123
1.50E+15,1/1/2015 0:20,BRONX,3015,STRATFORD AVE & 172 ST,BRONX,10472,43,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,13
1.50E+15,1/1/2015 0:21,MANHATTAN,1791,BROADWAY AND DYCKMAN ST,MANHATTAN,10034,34,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,5
1.50E+15,1/1/2015 0:21,MANHATTAN,1568,AMSTERDAM AVE & 136 ST,MANHATTAN,10031,30,Phone,Demolition Debris or Rubbish Fire,NonStructural Fires,42
1.50E+15,1/1/2015 0:21,MANHATTAN,684,1 AVE & 30 ST,MANHATTAN,10016,13,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,11
1.50E+15,1/1/2015 0:21,MANHATTAN,956,COLUMBUS AVE & 62 ST,MANHATTAN,10023,20,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,96
1.50E+15,1/1/2015 0:23,MANHATTAN,1797,ACADEMY ST AND POST AVE,MANHATTAN,10034,34,UCT/911,Odor - Other Than Smoke,NonMedical Emergencies,25
1.50E+15,1/1/2015 0:25,QUEENS,7765,31ST AVE AND 86TH ST,QUEENS,11370,115,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,70
1.50E+15,1/1/2015 0:25,MANHATTAN,442,AVENUE D & 8 ST,MANHATTAN,10009,9,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,6
1.50E+15,1/1/2015 0:26,MANHATTAN,865,BROADWAY & W 51 ST,MANHATTAN,10036,18,Verbal,Medical - Assist Civilian,Medical Emergencies,50
1.50E+15,1/1/2015 0:26,BRONX,3455,ARNOW AVE & FISH AVE,BRONX,10469,49,UCT/911,Utility Emergency - Electric,NonMedical Emergencies,12
1.50E+15,1/1/2015 0:26,RICHMOND / STATEN ISLAND,4300,CLAYPIT RD & GLADWIN AVE,RICHMOND / STATEN ISLAND,10309,123,UCT/911,Brush Fire,NonStructural Fires,9
1.50E+15,1/1/2015 0:26,MANHATTAN,633,7 AVE & W 25 ST,MANHATTAN,10001,13,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,26
1.50E+15,1/1/2015 0:26,QUEENS,1667,163 AVE & 86 ST,QUEENS,11414,106,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,9
1.50E+15,1/1/2015 0:27,QUEENS,7607,38 ST & 20 RD,QUEENS,11105,114,Phone,Alarm System - Testing,NonMedical Emergencies,69
1.50E+15,1/1/2015 0:28,BROOKLYN,610,ATLANTIC & 6 AVES,BROOKLYN,11217,88,UCT/911,Alarm System - Defective,NonMedical Emergencies,12
1.50E+15,1/1/2015 0:29,BROOKLYN,3616,NEPTUNE AVE & BRIGHTON 10 ST,BROOKLYN,11235,60,UCT/911,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10
1.50E+15,1/1/2015 0:29,QUEENS,7394,36 AVE & 38 ST,QUEENS,11101,114,PD Link/Medical,Vehicle Accident - Other,NonMedical Emergencies,9
1.50E+15,1/1/2015 0:30,MANHATTAN,446,3 AVE & ST. MARKS PL,MANHATTAN,10003,9,UCT/911,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10
1.50E+15,1/1/2015 0:32,BROOKLYN,1842,GLENMORE AVE & DOSCHER ST,BROOKLYN,11208,75,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,18
1.50E+15,1/1/2015 0:33,BROOKLYN,790,STUYVESANT & GREENE AVES,BROOKLYN,11221,81,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 0:33,MANHATTAN,1406,PARK AVE & E 118 ST,MANHATTAN,10035,25,Private Fire Alarm,Multiple Dwelling 'A' - Compactor fire,Structural Fires,60
1.50E+15,1/1/2015 0:34,MANHATTAN,914,10 AVE & W 57 ST,MANHATTAN,10019,18,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,353
1.50E+15,1/1/2015 0:34,MANHATTAN,287,ESSEX ST & RIVINGTON ST,MANHATTAN,10002,7,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,6
1.50E+15,1/1/2015 0:35,MANHATTAN,1483,1 AVE & 126 ST,MANHATTAN,10035,25,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,80
1.50E+15,1/1/2015 0:35,MANHATTAN,1483,1 AVE & 126 ST,MANHATTAN,10035,25,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,975
1.50E+15,1/1/2015 0:36,MANHATTAN,1184,AMSTERDAM AVE & W 89 ST,MANHATTAN,10024,24,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 0:37,MANHATTAN,1701,FORT WASHINGTON AVE & 168 ST,MANHATTAN,10032,33,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,19
1.50E+15,1/1/2015 0:37,BRONX,2901,EASTBURN AVE & 173 ST,BRONX,10457,44,UCT/911,Non-Medical MFA - Phone,NonMedical MFAs,7
