Unique Key,Created Date,Agency Name,Incident Zip,Borough,latitude,longitude,Location
29614039,1/1/2015 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.8002938,-73.94150551,"(40.80029380152135, -73.94150550658483)"
29614600,1/1/2015 0:00,Department of Health and Mental Hygiene,10039,MANHATTAN,40.82496024,-73.9407684,"(40.82496024161445, -73.94076840452809)"
29615143,1/1/2015 0:00,Department of Health and Mental Hygiene,11417,QUEENS,40.67022886,-73.8368087,"(40.67022885583455, -73.83680869759354)"
29616258,1/1/2015 0:00,Department of Health and Mental Hygiene,10468,BRONX,40.87126132,-73.89231237,"(40.87126131568623, -73.89231237273222)"
29616363,1/1/2015 0:00,Department of Health and Mental Hygiene,11238,BROOKLYN,40.67187448,-73.95932196,"(40.67187448200876, -73.95932195510541)"
29618111,1/1/2015 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69264142,-73.94039553,"(40.69264142068928, -73.94039552905936)"
29618696,1/2/2015 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.79783609,-73.93921781,"(40.797836086368434, -73.93921781466649)"
29618697,1/2/2015 0:00,Department of Health and Mental Hygiene,11385,QUEENS,40.70073496,-73.90625644,"(40.70073495793853, -73.90625644152597)"
29618752,1/2/2015 0:00,Department of Health and Mental Hygiene,10029,MANHATTAN,40.78679691,-73.95102192,"(40.78679691010525, -73.9510219222598)"
29619561,1/2/2015 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63122664,-73.90684045,"(40.63122664339809, -73.90684044781803)"
29619575,1/2/2015 0:00,Department of Health and Mental Hygiene,10039,MANHATTAN,40.82692946,-73.9379338,"(40.82692945691278, -73.93793379898436)"
29619629,1/2/2015 0:00,Department of Health and Mental Hygiene,10451,BRONX,40.82745525,-73.92237056,"(40.82745524997554, -73.92237056165858)"
29620388,1/2/2015 0:00,Department of Health and Mental Hygiene,10027,MANHATTAN,40.81309737,-73.95216943,"(40.81309736956231, -73.95216943096172)"
29620405,1/2/2015 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69695536,-73.9292266,"(40.696955360592945, -73.92922660371568)"
29620423,1/2/2015 0:00,Department of Health and Mental Hygiene,11213,BROOKLYN,40.66448197,-73.93389288,"(40.66448197292001, -73.93389288311353)"
29620443,1/2/2015 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.80621873,-73.93968336,"(40.80621872628547, -73.9396833590092)"
29620448,1/2/2015 0:00,Department of Health and Mental Hygiene,10027,MANHATTAN,40.81320198,-73.94663487,"(40.8132019848307, -73.94663487272967)"
29621193,1/2/2015 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63613913,-73.89641731,"(40.63613913375865, -73.89641730821498)"
29621201,1/2/2015 0:00,Department of Health and Mental Hygiene,10456,BRONX,40.82856998,-73.9189329,"(40.82856998386493, -73.91893289667789)"
29621269,1/2/2015 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.80621873,-73.93968336,"(40.80621872628547, -73.9396833590092)"
29621952,1/2/2015 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69718314,-73.92917227,"(40.69718314293224, -73.92917226740356)"
29621978,1/2/2015 0:00,Department of Health and Mental Hygiene,10128,MANHATTAN,40.78017278,-73.95509255,"(40.7801727793378, -73.9550925495991)"
29622764,1/2/2015 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.68803899,-73.91505443,"(40.68803899372891, -73.91505443046383)"
29622829,1/2/2015 0:00,Department of Health and Mental Hygiene,11216,BROOKLYN,40.67997498,-73.94173002,"(40.67997498283903, -73.94173002085402)"
29622913,1/2/2015 0:00,Department of Health and Mental Hygiene,10459,BRONX,40.819158,-73.89176081,"(40.81915800004336, -73.89176081465675)"
29622964,1/2/2015 0:00,Department of Health and Mental Hygiene,10002,MANHATTAN,40.72043031,-73.98631293,"(40.720430308983545, -73.98631292660642)"
29622972,1/2/2015 0:00,Department of Health and Mental Hygiene,10468,BRONX,40.85919494,-73.9007406,"(40.859194944310964, -73.90074060303387)"
