Unique Key,Created Date,Agency Name,Incident Zip,Borough,latitude,longitude,Location
29614039,1/1/15 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.8002938,-73.94150551,"(40.80029380152135, -73.94150550658483)"
29614600,1/1/15 0:00,Department of Health and Mental Hygiene,10039,MANHATTAN,40.82496024,-73.9407684,"(40.82496024161445, -73.94076840452809)"
29615143,1/1/15 0:00,Department of Health and Mental Hygiene,11417,QUEENS,40.67022886,-73.8368087,"(40.67022885583455, -73.83680869759354)"
29616258,1/1/15 0:00,Department of Health and Mental Hygiene,10468,BRONX,40.87126132,-73.89231237,"(40.87126131568623, -73.89231237273222)"
29616363,1/1/15 0:00,Department of Health and Mental Hygiene,11238,BROOKLYN,40.67187448,-73.95932196,"(40.67187448200876, -73.95932195510541)"
29618111,1/1/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69264142,-73.94039553,"(40.69264142068928, -73.94039552905936)"
29618696,1/2/15 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.79783609,-73.93921781,"(40.797836086368434, -73.93921781466649)"
29618697,1/2/15 0:00,Department of Health and Mental Hygiene,11385,QUEENS,40.70073496,-73.90625644,"(40.70073495793853, -73.90625644152597)"
29618752,1/2/15 0:00,Department of Health and Mental Hygiene,10029,MANHATTAN,40.78679691,-73.95102192,"(40.78679691010525, -73.9510219222598)"
29619561,1/2/15 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63122664,-73.90684045,"(40.63122664339809, -73.90684044781803)"
29619575,1/2/15 0:00,Department of Health and Mental Hygiene,10039,MANHATTAN,40.82692946,-73.9379338,"(40.82692945691278, -73.93793379898436)"
29619629,1/2/15 0:00,Department of Health and Mental Hygiene,10451,BRONX,40.82745525,-73.92237056,"(40.82745524997554, -73.92237056165858)"
29620388,1/2/15 0:00,Department of Health and Mental Hygiene,10027,MANHATTAN,40.81309737,-73.95216943,"(40.81309736956231, -73.95216943096172)"
29620405,1/2/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69695536,-73.9292266,"(40.696955360592945, -73.92922660371568)"
29620423,1/2/15 0:00,Department of Health and Mental Hygiene,11213,BROOKLYN,40.66448197,-73.93389288,"(40.66448197292001, -73.93389288311353)"
29620443,1/2/15 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.80621873,-73.93968336,"(40.80621872628547, -73.9396833590092)"
29620448,1/2/15 0:00,Department of Health and Mental Hygiene,10027,MANHATTAN,40.81320198,-73.94663487,"(40.8132019848307, -73.94663487272967)"
29621193,1/2/15 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63613913,-73.89641731,"(40.63613913375865, -73.89641730821498)"
29621201,1/2/15 0:00,Department of Health and Mental Hygiene,10456,BRONX,40.82856998,-73.9189329,"(40.82856998386493, -73.91893289667789)"
29621269,1/2/15 0:00,Department of Health and Mental Hygiene,10035,MANHATTAN,40.80621873,-73.93968336,"(40.80621872628547, -73.9396833590092)"
29621952,1/2/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69718314,-73.92917227,"(40.69718314293224, -73.92917226740356)"
29621978,1/2/15 0:00,Department of Health and Mental Hygiene,10128,MANHATTAN,40.78017278,-73.95509255,"(40.7801727793378, -73.9550925495991)"
29622764,1/2/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.68803899,-73.91505443,"(40.68803899372891, -73.91505443046383)"
29622829,1/2/15 0:00,Department of Health and Mental Hygiene,11216,BROOKLYN,40.67997498,-73.94173002,"(40.67997498283903, -73.94173002085402)"
29622913,1/2/15 0:00,Department of Health and Mental Hygiene,10459,BRONX,40.819158,-73.89176081,"(40.81915800004336, -73.89176081465675)"
29622964,1/2/15 0:00,Department of Health and Mental Hygiene,10002,MANHATTAN,40.72043031,-73.98631293,"(40.720430308983545, -73.98631292660642)"
29622972,1/2/15 0:00,Department of Health and Mental Hygiene,10468,BRONX,40.85919494,-73.9007406,"(40.859194944310964, -73.90074060303387)"
29623613,1/2/15 0:00,Department of Health and Mental Hygiene,11216,BROOKLYN,40.68045794,-73.95353006,"(40.680457944145495, -73.95353005938506)"
29623709,1/2/15 0:00,Department of Health and Mental Hygiene,11374,QUEENS,40.73509936,-73.85797882,"(40.73509935689471, -73.8579788213209)"
29623716,1/2/15 0:00,Department of Health and Mental Hygiene,10003,MANHATTAN,40.73009178,-73.98571922,"(40.730091782218146, -73.98571921695124)"
29623772,1/2/15 0:00,Department of Health and Mental Hygiene,10026,MANHATTAN,40.80334055,-73.94740492,"(40.80334054604667, -73.94740492174644)"
29623773,1/2/15 0:00,Department of Health and Mental Hygiene,11220,BROOKLYN,40.65105359,-74.01263494,"(40.65105359427675, -74.01263494444362)"
29623827,1/2/15 0:00,Department of Health and Mental Hygiene,11215,BROOKLYN,40.66989381,-73.98779407,"(40.669893807851274, -73.98779406546552)"
29623836,1/2/15 0:00,Department of Health and Mental Hygiene,10033,MANHATTAN,40.85353691,-73.93837889,"(40.85353690854553, -73.9383788914449)"
29624526,1/2/15 0:00,Department of Health and Mental Hygiene,10025,MANHATTAN,40.79537606,-73.97347627,"(40.79537605990771, -73.97347627044005)"
29624527,1/2/15 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63692828,-73.91862525,"(40.63692828017504, -73.91862525477258)"
29624650,1/2/15 0:00,Department of Health and Mental Hygiene,11213,BROOKLYN,40.67232493,-73.94663944,"(40.67232493164511, -73.9466394449922)"
29625341,1/3/15 0:00,Department of Health and Mental Hygiene,10030,MANHATTAN,40.81463357,-73.94419156,"(40.81463357258795, -73.9441915634961)"
29625939,1/3/15 0:00,Department of Health and Mental Hygiene,11360,QUEENS,40.78230964,-73.79159251,"(40.78230963852836, -73.79159251277831)"
29625950,1/3/15 0:00,Department of Health and Mental Hygiene,11385,QUEENS,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
29626609,1/3/15 0:00,Department of Health and Mental Hygiene,10009,MANHATTAN,40.72367841,-73.97598693,"(40.72367841238445, -73.97598692636065)"
29626622,1/3/15 0:00,Department of Health and Mental Hygiene,11365,QUEENS,40.7317648,-73.80558797,"(40.73176479618739, -73.80558796903574)"
29626625,1/3/15 0:00,Department of Health and Mental Hygiene,11216,BROOKLYN,40.67721329,-73.95271754,"(40.677213290268476, -73.95271754047013)"
29626626,1/3/15 0:00,Department of Health and Mental Hygiene,11692,QUEENS,40.59907356,-73.79601033,"(40.59907356308328, -73.79601033434442)"
29626627,1/3/15 0:00,Department of Health and Mental Hygiene,10314,STATEN ISLAND,40.61425103,-74.12155424,"(40.614251029729026, -74.12155423755097)"
29626672,1/3/15 0:00,Department of Health and Mental Hygiene,10034,MANHATTAN,40.8658788,-73.92297287,"(40.86587880324571, -73.92297287319788)"
29628964,1/3/15 0:00,Department of Health and Mental Hygiene,11223,BROOKLYN,40.59926022,-73.97545551,"(40.59926021992106, -73.97545551105875)"
29628973,1/3/15 0:00,Department of Health and Mental Hygiene,11102,QUEENS,40.7721649,-73.92569517,"(40.77216489633428, -73.92569517012166)"
29629049,1/3/15 0:00,Department of Health and Mental Hygiene,11236,BROOKLYN,40.63888529,-73.89794438,"(40.638885287817935, -73.89794438478697)"
29629050,1/3/15 0:00,Department of Health and Mental Hygiene,10026,MANHATTAN,40.80303006,-73.94668637,"(40.803030061926194, -73.94668637214029)"
29629528,1/3/15 0:00,Department of Health and Mental Hygiene,10314,STATEN ISLAND,40.61513397,-74.1249344,"(40.61513397476208, -74.12493439990716)"
29630142,1/4/15 0:00,Department of Health and Mental Hygiene,10128,MANHATTAN,40.77769556,-73.94534905,"(40.777695562860096, -73.94534904743382)"
29630622,1/4/15 0:00,Department of Health and Mental Hygiene,10003,MANHATTAN,40.7324609,-73.98934857,"(40.73246089863388, -73.98934856738063)"
29630623,1/4/15 0:00,Department of Health and Mental Hygiene,10459,BRONX,40.82666398,-73.88802327,"(40.826663982125496, -73.88802327190794)"
29630675,1/4/15 0:00,Department of Health and Mental Hygiene,10029,MANHATTAN,40.78896054,-73.94659652,"(40.78896053852719, -73.94659652300922)"
29630684,1/4/15 0:00,Department of Health and Mental Hygiene,10002,MANHATTAN,40.72042209,-73.98645362,"(40.72042209134668, -73.98645362302278)"
29631093,1/4/15 0:00,Department of Health and Mental Hygiene,11238,BROOKLYN,40.67727296,-73.95794868,"(40.67727296132795, -73.9579486774066)"
29631195,1/4/15 0:00,Department of Health and Mental Hygiene,10458,BRONX,40.86598295,-73.89198107,"(40.86598295336475, -73.89198106742957)"
29631552,1/4/15 0:00,Department of Health and Mental Hygiene,10002,MANHATTAN,40.72042209,-73.98645362,"(40.72042209134668, -73.98645362302278)"
29631600,1/4/15 0:00,Department of Health and Mental Hygiene,11223,BROOKLYN,40.59926022,-73.97545551,"(40.59926021992106, -73.97545551105875)"
29631605,1/4/15 0:00,Department of Health and Mental Hygiene,11233,BROOKLYN,40.68414679,-73.93609444,"(40.68414679095198, -73.93609443524818)"
29632679,1/4/15 0:00,Department of Health and Mental Hygiene,11211,BROOKLYN,40.71798921,-73.94570464,"(40.71798920746149, -73.94570463655572)"
29633045,1/4/15 0:00,Department of Health and Mental Hygiene,10040,MANHATTAN,40.86305412,-73.92658421,"(40.863054118451714, -73.9265842099393)"
29633052,1/4/15 0:00,Department of Health and Mental Hygiene,10034,MANHATTAN,40.86428812,-73.92075488,"(40.86428812118707, -73.92075488286413)"
29633100,1/4/15 0:00,Department of Health and Mental Hygiene,10026,MANHATTAN,40.80334853,-73.94685227,"(40.803348526754995, -73.94685227146547)"
29633101,1/4/15 0:00,Department of Health and Mental Hygiene,10006,MANHATTAN,40.70777155,-74.0129631,"(40.70777155363643, -74.01296309970473)"
29633189,1/4/15 0:00,Department of Health and Mental Hygiene,11207,BROOKLYN,40.68720824,-73.91260357,"(40.68720823734699, -73.9126035706819)"
29631179,1/5/15 0:00,Department of Health and Mental Hygiene,11238,BROOKLYN,40.67536746,-73.95625908,"(40.67536745771284, -73.95625907739854)"
29634202,1/5/15 0:00,Department of Health and Mental Hygiene,11223,BROOKLYN,40.59198705,-73.96670508,"(40.591987046047834, -73.9667050804932)"
29634214,1/5/15 0:00,Department of Health and Mental Hygiene,11385,QUEENS,40.70778436,-73.89453861,"(40.70778435794905, -73.89453861011327)"
29634230,1/5/15 0:00,Department of Health and Mental Hygiene,11373,QUEENS,40.74489942,-73.88359546,"(40.74489942410997, -73.88359545968551)"
29635359,1/5/15 0:00,Department of Health and Mental Hygiene,10030,MANHATTAN,40.8199722,-73.9444978,"(40.8199722004903, -73.94449780041255)"
29635360,1/5/15 0:00,Department of Health and Mental Hygiene,10459,BRONX,40.82728417,-73.88790299,"(40.827284171337936, -73.8879029875363)"
29635361,1/5/15 0:00,Department of Health and Mental Hygiene,10472,BRONX,40.82515033,-73.88122209,"(40.82515032734461, -73.88122209183845)"
29635388,1/5/15 0:00,Department of Health and Mental Hygiene,11433,QUEENS,40.69808063,-73.79126798,"(40.698080630285084, -73.79126797590615)"
29636429,1/5/15 0:00,Department of Health and Mental Hygiene,10305,STATEN ISLAND,40.61759844,-74.07045513,"(40.617598439462604, -74.07045512656849)"
29636487,1/5/15 0:00,Department of Health and Mental Hygiene,11226,BROOKLYN,40.64764163,-73.95417995,"(40.647641629596244, -73.95417994585017)"
29636492,1/5/15 0:00,Department of Health and Mental Hygiene,10459,BRONX,40.82798057,-73.88996145,"(40.8279805672427, -73.88996144748901)"
29636493,1/5/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69433811,-73.92685654,"(40.69433811409084, -73.92685653720044)"
29636509,1/5/15 0:00,Department of Health and Mental Hygiene,10456,BRONX,40.82249532,-73.90720859,"(40.82249532133742, -73.9072085856295)"
29637600,1/5/15 0:00,Department of Health and Mental Hygiene,10025,MANHATTAN,40.79861876,-73.96736743,"(40.798618761318735, -73.96736743300544)"
29637688,1/5/15 0:00,Department of Health and Mental Hygiene,11230,BROOKLYN,40.61101546,-73.96258251,"(40.611015456640935, -73.96258251153243)"
29637712,1/5/15 0:00,Department of Health and Mental Hygiene,11216,BROOKLYN,40.67428873,-73.94947506,"(40.67428872663597, -73.94947505782707)"
29638653,1/5/15 0:00,Department of Health and Mental Hygiene,10036,MANHATTAN,40.76225809,-73.99183097,"(40.76225809335628, -73.99183097035153)"
29638793,1/5/15 0:00,Department of Health and Mental Hygiene,10453,BRONX,40.84668784,-73.9189578,"(40.84668783953434, -73.91895780383514)"
29639777,1/5/15 0:00,Department of Health and Mental Hygiene,10457,BRONX,40.83885901,-73.9102974,"(40.838859009406015, -73.9102973998674)"
29639778,1/5/15 0:00,Department of Health and Mental Hygiene,10032,MANHATTAN,40.83971432,-73.94324172,"(40.83971431784294, -73.94324171872209)"
29640805,1/5/15 0:00,Department of Health and Mental Hygiene,10451,BRONX,40.8123172,-73.92513014,"(40.812317203978196, -73.92513013635724)"
29640962,1/5/15 0:00,Department of Health and Mental Hygiene,10467,BRONX,40.86022977,-73.86557817,"(40.860229769410644, -73.86557816789829)"
29641009,1/5/15 0:00,Department of Health and Mental Hygiene,10031,MANHATTAN,40.82297854,-73.94635244,"(40.82297854440775, -73.9463524354006)"
29641020,1/5/15 0:00,Department of Health and Mental Hygiene,11221,BROOKLYN,40.69433811,-73.92685654,"(40.69433811409084, -73.92685653720044)"
29641021,1/5/15 0:00,Department of Health and Mental Hygiene,10026,MANHATTAN,40.80040014,-73.95183542,"(40.8004001354548, -73.95183542469623)"
29641028,1/5/15 0:00,Department of Health and Mental Hygiene,11237,BROOKLYN,40.69417823,-73.90690755,"(40.69417823381243, -73.90690755310547)"
29641906,1/5/15 0:00,Department of Health and Mental Hygiene,10022,MANHATTAN,40.759442,-73.96354233,"(40.759441996900954, -73.96354232726291)"
