tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
606945,305778,2016-06-28,10,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,76-046 164 STREET,11366,Fresh Meadows,408,4,Queens,24,25,14,QN37,Kew Gardens Hills,4125700,New York,40.72433932,-73.80518011,1038250.055,203232.9417
160321,341273,2015-08-19,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,72-020 32 AVENUE,11370,East Elmhurst,403,4,Queens,25,34,13,QN28,Jackson Heights,4030902,New York,40.75662595,-73.89416679,1013570.588,214953.6472
541347,325281,2015-12-30,7,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,153-026 119 AVENUE,11434,Jamaica,412,4,Queens,28,32,10,QN76,Baisley Park,4028800,New York,40.67977677,-73.78846289,1042922.921,187008.2671
613930,203822,2016-07-05,10,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,89 89 STREET,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005000,New York,40.62274274,-74.0375434,973827.8722,166160.5847
18353,338911,2015-06-13,4,0,OnCurb,Alive,Good,Prunus virginiana,'Schubert' chokecherry,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,559 BEACH 68 STREET,11692,Arverne,414,4,Queens,31,31,10,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.5965141,-73.79762248,1040452.463,156667.5017
21173,108713,2015-06-15,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,TrunkOtherBranchOther,No,No,No,No,No,Yes,No,No,Yes,3554 BROADWAY,10031,New York,109,1,Manhattan,7,71,31,MN04,Hamilton Heights,1022900,New York,40.8268873,-73.94988854,998118.5001,240538.5367
544698,201434,2016-01-20,2,0,OnCurb,Alive,Fair,Quercus rubra,northern red oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2030 PITKIN AVENUE,11207,Brooklyn,305,3,Brooklyn,42,55,19,BK85,East New York (Pennsylvania Ave),3114400,New York,40.67134672,-73.89761379,1012651.928,183882.7143
546240,228778,2016-02-06,2,0,OnCurb,Alive,Good,Tilia americana,American linden,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,5008 FT HAMILTON PARKWAY,11219,Brooklyn,312,3,Brooklyn,44,48,17,BK88,Borough Park,3011400,New York,40.63777439,-73.99869226,984612.9484,171634.7857
646348,309729,2016-07-29,4,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,85-006 WOODHAVEN BOULEVARD,11421,Woodhaven,409,4,Queens,32,38,15,QN53,Woodhaven,4001400,New York,40.69666784,-73.85308695,1024988.19,193125.4947
413812,501196,2015-11-02,5,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1340 EAST BAY AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.80896707,-73.88264729,1016736.46,234027.3437
643898,308820,2016-07-28,7,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,97-016 116 STREET,11419,South Richmond Hill,409,4,Queens,28,24,10,QN54,Richmond Hill,4012000,New York,40.68998752,-73.82894773,1031686.608,190703.8139
51527,414908,2015-07-06,10,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,234 CORBIN AVENUE,10308,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5014605,New York,40.56123548,-74.14756926,943246.7257,143784.2364
111516,103671,2015-08-02,2,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,311 10 AVENUE,10001,New York,104,1,Manhattan,3,75,31,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1009700,New York,40.75050267,-74.0012648,983899.5604,212705.0277
316742,413488,2015-10-13,13,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,73 MACON AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017012,New York,40.55740036,-74.1719325,936474.4741,142399.3567
428425,222536,2015-11-04,2,0,OnCurb,Dead,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,176 SUYDAM STREET,11221,Brooklyn,304,3,Brooklyn,34,53,18,BK78,Bushwick South,3042300,New York,40.69965527,-73.92605343,1004754.069,194188.3987
581674,330418,2016-06-10,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,152-002 BAISLEY BOULEVARD,11434,Jamaica,412,4,Queens,28,32,10,QN02,Springfield Gardens North,4029400,New York,40.67021579,-73.78613754,1043576.393,183526.505
341736,510883,2015-10-17,12,0,OnCurb,Dead,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,345 CITY ISLAND AVENUE,10464,Bronx,210,2,Bronx,13,82,34,BX10,Pelham Bay-Country Club-City Island,2051600,New York,40.84822096,-73.78696339,1043189.576,248378.8878
545989,212884,2016-02-04,14,0,OnCurb,Alive,Good,Fraxinus americana,white ash,None,None,NoDamage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,3919 AVENUE P,11234,Brooklyn,318,3,Brooklyn,45,41,19,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3064800,New York,40.6180494,-73.93600187,1002017.267,164454.9346
386593,400007,2015-10-27,16,0,OffsetFromCurb,Alive,Fair,Quercus rubra,northern red oak,None,None,NoDamage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,197 HOPE AVENUE,10305,Staten Island,501,5,Staten Island,49,64,23,SI37,Stapleton-Rosebank,5002001,New York,40.60772576,-74.07015896,964769.3428,160695.0766
